disease	diseaseName
C0011884	Diabetic Retinopathy
C0001206	Acromegaly
C0013608	Edema, Cardiac
C0036830	Serum Sickness
C0007785	Cerebral Infarction
C0003838	Arterial Occlusive Diseases
C1833683	NEPHROLITHIASIS, CALCIUM OXALATE
C0149931	Migraine Disorders
C0302314	Xanthoma
C0149521	Pancreatitis, Chronic
C0001339	Acute pancreatitis
C0156221	Acute glomerulonephritis
C0040053	Thrombosis
C0026946	Mycoses
C0035309	Retinal Diseases
C4083212	Alopecia, Male Pattern
C0085096	Peripheral Vascular Diseases
C0019080	Hemorrhage
